Year,Brazil_Tonnes,United States
2000,7321404016.0,302000000000.0
2001,7654391416.0,308000000000.0
2002,7981826248.0,314000000000.0
2003,8299334696.0,320000000000.0
2004,8633009840.0,326000000000.0
2005,8975096312.0,332000000000.0
2006,9317042680.0,338000000000.0
2007,9673961432.0,344000000000.0
2008,10054306360.0,350000000000.0
2009,10414397136.0,356000000000.0
2010,10825637328.0,361000000000.0
2011,11255832230.0,367000000000.0
2012,11715895322.0,372000000000.0
2013,12209488834.0,378000000000.0
